,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,View Zerodha's guide on using tax reports for filing.,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,Client ID,QM1509,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,Equity Holdings Statement as on 2026-05-10,,,,,,,,,,,
,,,,,,,,,,,,
,Summary,,,,,,,,,,,
,,,,,,,,,,,,
,Invested Value,2164695.6825,,,,,,,,,,
,Present Value,2749423.3,,,,,,,,,,
,Unrealized P&L,584727.6175,,,,,,,,,,
,Unrealized P&L Pct.,27.012,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,Symbol,ISIN,Sector,Quantity Available,Quantity Discrepant,Quantity Long Term,Quantity Pledged (Margin),Quantity Pledged (Loan),Average Price,Previous Closing Price,Unrealized P&L,Unrealized P&L Pct.
,0SCL27-YW,INE148I07SK0,DEBT,20,0,20,0,0,1000,1206.39,4127.8,20.639
,925MFCL26-F,INE549K07DO9,DEBT,20,0,20,0,0,1000,1076.8,1536,7.68
,AARTIIND,INE769A01020,CHEMICALS,10,0,10,0,0,452,485.45,334.5,7.4004
,ABSLAMC,INE404A01024,FINANCIAL SERVICES,20,0,20,0,0,893.085,1073.4,3606.3,20.1901
,ADANIPORTS,INE742F01042,LOGISTICS,6,0,6,0,0,552,1760.4,7250.4,218.913
,ADANIPOWER,INE814H01029,ENERGY,60,0,0,0,0,112.51,225.33,6769.2,100.2755
,AIIL,INE206F01022,FINANCIAL SERVICES,7,0,0,0,0,481.75,495.5,96.25,2.8542
,AJANTPHARM,INE031B01049,HEALTHCARE,38,0,0,0,0,2588.8763,3035,16952.7,17.2323
,AMBUJACEM,INE079A01024,BUILDING MATERIALS,18,0,0,0,0,458.5,444.3,-255.6,-3.0971
,ANGELONE,INE732I01021,FINANCIAL SERVICES,8,0,0,0,0,263.0425,326.1,504.46,23.9724
,APOLLOHOSP,INE437A01024,HEALTHCARE,1,0,1,0,0,6883.6,8097,1213.4,17.6274
,APTUS,INE852O01025,FINANCIAL SERVICES,20,0,20,0,0,321.595,282.8,-775.9,-12.0633
,ASHIANA,INE365D01021,REAL ESTATE,20,0,20,0,0,213,375.3,3246,76.1972
,ASHOKLEY,INE208A01029,AUTO ANCILLARY,20,0,10,0,0,117.925,168.65,1014.5,43.0146
,AUTOAXLES,INE449A01011,AUTO ANCILLARY,6,0,6,0,0,2054,1837.3,-1300.2,-10.5501
,AXISBANK,INE238A01034,FINANCIAL SERVICES,7,0,7,0,0,712.5,1269.4,3898.3,78.1614
,BAJAJELEC,INE193E01025,CONSUMER DURABLES,5,0,5,0,0,668.0172,406.7,-1306.586,-39.1183
,BALAMINES,INE050E01027,CHEMICALS,1,0,1,0,0,3056.6,1487.2,-1569.4,-51.3446
,BALKRISIND,INE787D01026,AUTO ANCILLARY,1,0,0,0,0,2325,2263.25,-61.75,-2.6559
,BHARTIARTL,INE397D01024,TELECOM,27,0,12,0,0,1805.263,1834.9,800.2,1.6417
,CAMS,INE596I01020,FINANCIAL SERVICES,10,0,10,0,0,455.6,836.3,3807,83.5601
,CANBK,INE476A01022,FINANCIAL SERVICES,500,0,500,0,0,2,134.35,66175,6617.5
,CASTROLIND,INE172A01027,ENGINEERING & CAPITAL GOODS,11,0,0,0,0,181.0973,185,42.93,2.155
,CCL,INE421D01022,FMCG,6,0,0,0,0,1056.3,1124,406.2,6.4092
,CHOLAHLDNG,INE149A01033,FINANCIAL SERVICES,3,0,0,0,0,1750.9,1782.6,95.1,1.8105
,COALINDIA,INE522F01014,METALS,7,0,0,0,0,430.3071,456.4,182.65,6.0638
,COLPAL,INE259A01022,FMCG,3,0,0,0,0,2057,2197.4,421.2,6.8255
,DYCL,INE600Y01019,ENGINEERING & CAPITAL GOODS,10,0,0,0,0,488,421.9,-661,-13.5451
,ENGINERSIN,INE510A01028,ENGINEERING & CAPITAL GOODS,50,0,0,0,0,200,256.55,2827.5,28.275
,ERIS,INE406M01024,HEALTHCARE,63,0,29,0,0,1427.9675,1386.75,-2596.7,-2.8864
,FORTIS,INE061F01013,HEALTHCARE,5,0,5,0,0,567.64,952.35,1923.55,67.7736
,FRETAIL-Z,INE752P01024,RETAIL,50,50,0,0,0,0,2.41,120.5,0
,GABRIEL,INE524A01029,AUTO ANCILLARY,15,0,13,0,0,246.17,1131.9,13285.95,359.8042
,GMDCLTD,INE131A01031,METALS,4,0,0,0,0,572.5,684.7,448.8,19.5983
,GOLDCASE-E,INF0R8F01042,ETF,1343,0,0,0,0,21.3827,23.67,3071.88,10.6971
,GPIL,INE177H01039,METALS,30,0,30,0,0,148.2,294.65,4393.5,98.8192
,GRINFRA,INE201P01022,ENGINEERING & CAPITAL GOODS,10,0,10,0,0,837,980.65,1436.5,17.1625
,GRSE,INE382Z01011,DEFENCE,2,0,0,0,0,2473.4,3051.3,1155.8,23.3646
,HAL,INE066F01020,DEFENCE,4,0,4,0,0,1305,4788.1,13932.4,266.9042
,HDFCBANK,INE040A01034,FINANCIAL SERVICES,60,0,5,0,0,953.9577,781.2,-10365.4643,-18.1096
,HGINFRA,INE926X01010,ENGINEERING & CAPITAL GOODS,15,0,15,0,0,468.3333,626.65,2374.75,33.8043
,HINDUNILVR,INE030A01027,FMCG,4,0,4,0,0,2335.45,2287.9,-190.2,-2.036
,HUDCO,INE031A01017,FINANCIAL SERVICES,105,0,0,0,0,206.8737,232.3,2669.76,12.2907
,ICEMAKE,INE520Y01019,ENGINEERING & CAPITAL GOODS,3,0,0,0,0,803.5333,794,-28.6,-1.1864
,ICICIBANK,INE090A01021,FINANCIAL SERVICES,33,0,5,0,0,1192.9727,1264.8,2370.3,6.0209
,INDIGO,INE646L01027,AVIATION,2,0,0,0,0,5750,4522.7,-2454.6,-21.3443
,INDUSINDBK,INE095A01012,FINANCIAL SERVICES,4,0,4,0,0,1010,950.75,-237,-5.8663
,INE1CDF01017,,UNLISTED,5,5,0,0,0,0,0,0,0
,INE1CLE01013,,UNLISTED,5,5,0,0,0,0,0,0,0
,INE694L01019,,UNLISTED,5,5,0,0,0,0,0,0,0
,INE704J01044,,UNLISTED,5,5,0,0,0,0,0,0,0
,INFY,INE009A01021,SOFTWARE SERVICES,2,0,0,0,0,1599.3,1179.2,-840.2,-26.2677
