"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"0SCL27-YW",20,1000,1208.23,20000,24164.6,4164.6,20.82,0,""
"925MFCL26",20,1000,1076.8,20000,21536,1536,7.68,0,""
"AARTIIND",10,452,468.35,4520,4683.5,163.5,3.62,-0.04,""
"ABSLAMC",20,893.09,1033.8,17861.7,20676,2814.3,15.76,-2.02,""
"ADANIPORTS",0,552,1736.05,0,0,0,214.5,2.79,""
"ADANIPOWER",60,112.51,213.87,6750.6,12832.2,6081.6,90.09,2.02,""
"AIIL",7,481.75,478.5,3372.25,3349.5,-22.75,-0.67,0.03,""
"AJANTPHARM",38,2588.88,3123.2,98377.3,118681.6,20304.3,20.64,1.02,""
"AMBUJACEM",18,458.5,438.4,8253,7891.2,-361.8,-4.38,2.68,""
"ANGELONE",8,263.04,298.05,2104.34,2384.4,280.06,13.31,-0.57,""
"APOLLOHOSP",1,6883.6,8004.5,6883.6,8004.5,1120.9,16.28,-0.22,""
"APTUS",20,321.6,269.4,6431.9,5388,-1043.9,-16.23,-1.73,""
"ASHIANA",20,213,365.95,4260,7319,3059,71.81,4.6,""
"ASHOKLEY",20,117.93,153.3,2358.5,3066,707.5,30,-1.83,""
"AUTOAXLES",6,2054,1695.8,12324,10174.8,-2149.2,-17.44,-1.67,""
"AXISBANK",7,712.5,1255.75,4987.5,8790.25,3802.75,76.25,-0.4,""
"BALAMINES",1,3056.6,1362.5,3056.6,1362.5,-1694.1,-55.42,1.68,""
"BHARTIARTL",32,1797.41,1789.2,57517.1,57254.4,-262.7,-0.46,1.84,""
"CAMS",10,455.6,784.95,4556,7849.5,3293.5,72.29,0.04,""
"CANBK",500,2,129.25,1000,64625,63625,6362.5,-0.62,""
"CASTROLIND",11,181.1,181.5,1992.07,1996.5,4.43,0.22,0.11,""
"CCL",6,1056.3,1123.1,6337.8,6738.6,400.8,6.32,2.58,""
"CHOLAHLDNG",3,1750.9,1702.5,5252.7,5107.5,-145.2,-2.76,-0.76,""
"COALINDIA",7,430.31,462.25,3012.15,3235.75,223.6,7.42,-0.17,""
"COLPAL",3,2057,2130,6171,6390,219,3.55,0.11,""
"DYCL",10,488,334.2,4880,3342,-1538,-31.52,1.67,""
"ENGINERSIN",50,200,241.9,10000,12095,2095,20.95,2.09,""
"ERIS",63,1427.97,1330.6,89961.95,83827.8,-6134.15,-6.82,-1.99,""
"FORTIS",5,567.64,957.5,2838.2,4787.5,1949.3,68.68,0.67,""
"GABRIEL",15,246.17,1100,3692.55,16500,12807.45,346.85,0.12,""
"GMDCLTD",4,572.5,663.1,2290,2652.4,362.4,15.83,3.11,""
"GOLDCASE",1346,21.39,25.05,28787.58,33717.3,4929.72,17.12,5.56,""
"GPIL",30,148.2,290,4446,8700,4254,95.68,2.73,""
"GRINFRA",10,837,943.5,8370,9435,1065,12.72,0.78,""
"GRSE",2,2473.4,2853.4,4946.8,5706.8,760,15.36,2.22,""
"HAL",4,1305,4618.5,5220,18474,13254,253.91,1.01,""
"HDFCBANK",60,953.96,749.6,57237.46,44976,-12261.46,-21.42,-0.19,""
"HGINFRA",15,468.33,621.55,7025,9323.25,2298.25,32.72,-2.85,""
"HINDUNILVR",4,2335.45,2267.75,9341.8,9071,-270.8,-2.9,0.05,""
"HUDCO",105,206.87,219.45,21721.74,23042.25,1320.51,6.08,0.23,""
"ICEMAKE",3,803.53,764.75,2410.6,2294.25,-116.35,-4.83,-0.31,""
"ICICIBANK",39,1200.99,1235.6,46838.7,48188.4,1349.7,2.88,-0.38,""
"INDIGO",2,5750,4256.4,11500,8512.8,-2987.2,-25.98,1.2,""
"INDUSINDBK",4,1010,892.5,4040,3570,-470,-11.63,-0.04,""
"INFY",0,1599.3,1123.25,0,0,0,-29.77,-1.51,""
"IOLCP",50,111.81,106.22,5590.5,5311,-279.5,-5,0.48,""
"IONEXCHANG",25,423.65,395.2,10591.25,9880,-711.25,-6.72,0.53,""
